"PROJ","CLASSIFIER","ITERATION","FEATURE_SELECTION","SAMPLING","COST_SENSITIVE","PRECISION","RECALL","AUC","KAPPA","NPOFB","TP","FP","TN","FN","%_OF_TRAINING"
"BOOKKEEPER","NaiveBayes","4","BEST FIRST","OVERSAMPLING","NO","0","0","0,67322","-0,00635","0","0.0","2.0","545.0","69.0","72,93497"
"BOOKKEEPER","IBk","4","BEST FIRST","OVERSAMPLING","NO","0,32704","0,75362","0,82278","0,35544","0","52.0","107.0","440.0","17.0","72,93497"
"BOOKKEEPER","RandomForest","4","BEST FIRST","NO","SENSITIVE_LEARNING","0,875","0,10145","0,90394","0,16232","0","7.0","1.0","546.0","62.0","72,93497"
"BOOKKEEPER","NaiveBayes","4","BEST FIRST","NO","SENSITIVE_LEARNING","0","0","0,77858","-0,00635","0","0.0","2.0","545.0","69.0","72,93497"
"BOOKKEEPER","IBk","4","BEST FIRST","NO","SENSITIVE_LEARNING","0,45361","0,63768","0,81593","0,45935","0","44.0","53.0","494.0","25.0","72,93497"
"BOOKKEEPER","RandomForest","5","NO","NO","NO","0,22059","0,83333","0,92427","0,31921","0","15.0","53.0","583.0","3.0","77,67918"
"BOOKKEEPER","NaiveBayes","5","NO","NO","NO","0,25","0,11111","0,96323","0,13927","0","2.0","6.0","630.0","16.0","77,67918"
"BOOKKEEPER","IBk","5","NO","NO","NO","0,11392","0,5","0,80045","0,14734","0","9.0","70.0","566.0","9.0","77,67918"
"BOOKKEEPER","RandomForest","5","BEST FIRST","NO","NO","0,19403","0,72222","0,9216","0,2744","0","13.0","54.0","582.0","5.0","77,67918"
"BOOKKEEPER","NaiveBayes","5","BEST FIRST","NO","NO","0","0","0,78346","-0,00793","0","0.0","3.0","633.0","18.0","77,67918"
"BOOKKEEPER","IBk","5","BEST FIRST","NO","NO","0,14085","0,55556","0,82844","0,18911","0","10.0","61.0","575.0","8.0","77,67918"
"BOOKKEEPER","RandomForest","5","BEST FIRST","UNDERSAMPLING","NO","0,10596","0,88889","0,90313","0,14742","0","16.0","135.0","501.0","2.0","77,67918"
"BOOKKEEPER","NaiveBayes","5","BEST FIRST","UNDERSAMPLING","NO","0","0","0,73886","-0,00793","0","0.0","3.0","633.0","18.0","77,67918"
"BOOKKEEPER","IBk","5","BEST FIRST","UNDERSAMPLING","NO","0,08333","0,83333","0,83871","0,10682","0","15.0","165.0","471.0","3.0","77,67918"
"BOOKKEEPER","RandomForest","5","BEST FIRST","OVERSAMPLING","NO","0,10924","0,72222","0,87334","0,1491","0","13.0","106.0","530.0","5.0","77,67918"
"BOOKKEEPER","NaiveBayes","5","BEST FIRST","OVERSAMPLING","NO","0","0","0,73829","-0,00793","0","0.0","3.0","633.0","18.0","77,67918"
"BOOKKEEPER","IBk","5","BEST FIRST","OVERSAMPLING","NO","0,09259","0,55556","0,80682","0,11707","0","10.0","98.0","538.0","8.0","77,67918"
"BOOKKEEPER","RandomForest","5","BEST FIRST","NO","SENSITIVE_LEARNING","0,33333","0,11111","0,9278","0,15504","0","2.0","4.0","632.0","16.0","77,67918"
"BOOKKEEPER","NaiveBayes","5","BEST FIRST","NO","SENSITIVE_LEARNING","0","0","0,78346","-0,00793","0","0.0","3.0","633.0","18.0","77,67918"
"BOOKKEEPER","IBk","5","BEST FIRST","NO","SENSITIVE_LEARNING","0,18868","0,55556","0,82844","0,25091","0","10.0","43.0","593.0","8.0","77,67918"
