VERSION, FILE_NAME, LOC, LOC_TOUCHED, NUMBER_OF_REVISIONS, LOC_ADDED, AVG_LOC_ADDED, NUMBER_OF_AUTHORS, MAX_LOC_ADDED, TOTAL_LOC_REMOVED, MAX_LOC_REMOVED, AVG_LOC_TOUCHED, BUGGY
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,9306,21,3,11,3.6666666666666665,2,8,10,8,7,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,7506,21,3,11,3.6666666666666665,2,8,10,8,7,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,16334,813,6,71,11.833333333333334,3,51,742,688,135,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,14143,441,6,233,38.833333333333336,3,101,208,101,73,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java,1980,10,3,5,1.6666666666666667,3,4,5,4,3,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java,900,10,2,5,2.5,2,5,5,5,5,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,3690,8,2,4,2.0,2,4,4,4,4,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,1296,21,3,11,3.6666666666666665,2,7,10,7,7,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,3160,33,3,4,1.3333333333333333,3,4,29,25,11,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java,925,94,1,94,94.0,1,94,0,0,94,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieLayoutVersionTest.java,7504,321,3,291,97.0,1,246,30,28,107,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/EntryLogTest.java,1197,90,1,90,90.0,1,90,0,0,90,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperTestClient.java,2326,77,4,74,18.5,2,61,3,2,19,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookieRecoveryTest.java,15439,275,5,243,48.6,2,208,32,14,55,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerCacheTest.java,4635,19,4,13,3.25,2,8,6,2,4,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestFencing.java,8735,351,3,348,116.0,1,343,3,2,117,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalAsyncLedgerOpsTest.java,425,47,1,47,47.0,1,47,0,0,47,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieFailureTest.java,425,47,1,47,47.0,1,47,0,0,47,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieReadWriteTest.java,425,47,1,47,47.0,1,47,0,0,47,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieRecoveryTest.java,400,46,1,46,46.0,1,46,0,0,46,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalLedgerDeleteTest.java,425,47,1,47,47.0,1,47,0,0,47,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/LedgerLayoutTest.java,2325,136,1,136,136.0,1,136,0,0,136,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/TestLedgerManager.java,4700,261,1,261,261.0,1,261,0,0,261,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/proto/TestProtoVersions.java,3975,115,2,114,57.0,1,113,1,1,57,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/AsyncLedgerOpsTest.java,15486,42,4,22,5.5,3,16,20,16,10,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BaseTestCase.java,12834,219,12,150,12.5,3,37,69,36,18,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieClientTest.java,17587,76,6,43,7.166666666666667,3,20,33,19,12,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieFailureTest.java,18172,68,6,34,5.666666666666667,3,24,34,24,11,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieJournalRollingTest.java,5897,275,3,247,82.33333333333333,2,222,28,26,91,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieReadWriteTest.java,65908,634,10,477,47.7,3,166,157,89,63,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieZKExpireTest.java,4300,106,3,99,33.0,3,90,7,6,35,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/CloseTest.java,2826,17,3,9,3.0,2,6,8,6,5,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConcurrentLedgerTest.java,13178,40,6,25,4.166666666666667,3,9,15,6,6,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConditionalSetTest.java,3669,126,3,122,40.666666666666664,2,116,4,3,42,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConfigurationTest.java,759,55,1,55,55.0,1,55,0,0,55,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerDeleteTest.java,6996,37,4,14,3.5,3,8,23,13,9,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerRecoveryTest.java,4458,64,4,45,11.25,3,25,19,17,16,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LoopbackClient.java,6769,25,5,14,2.8,3,7,11,7,5,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/NIOServerFactoryTest.java,2979,13,3,8,2.6666666666666665,3,4,5,4,4,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java,952,72,1,72,72.0,1,72,0,0,72,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java,204,42,1,42,42.0,1,42,0,0,42,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java,637,64,3,56,18.666666666666668,2,48,8,5,21,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java,910,71,2,67,33.5,2,63,4,4,35,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java,3003,277,2,257,128.5,2,237,20,20,138,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java,8372,145,3,139,46.333333333333336,2,133,6,5,48,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java,8317,163,4,150,37.5,2,136,13,10,40,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java,11320,185,3,181,60.333333333333336,2,176,4,2,61,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java,2184,48,2,47,23.5,2,46,1,1,24,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java,6952,146,5,137,27.4,3,127,9,5,29,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java,6133,155,3,152,50.666666666666664,2,148,3,2,51,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java,2184,60,2,59,29.5,2,58,1,1,30,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,7462,155,2,152,76.0,2,149,3,3,77,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java,3731,82,2,78,39.0,2,74,4,4,41,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java,910,37,1,37,37.0,1,37,0,0,37,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java,910,42,2,40,20.0,2,38,2,2,21,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java,910,41,2,40,20.0,2,39,1,1,20,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java,4040,118,4,107,26.75,2,95,11,5,29,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java,3585,94,3,91,30.333333333333332,2,87,3,2,31,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java,3403,85,4,78,19.5,2,70,7,3,21,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java,5405,132,4,123,30.75,2,113,9,4,33,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java,14847,492,6,414,69.0,3,329,78,35,82,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java,4131,102,4,93,23.25,2,83,9,5,25,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java,2639,68,3,63,21.0,2,58,5,3,22,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java,5678,137,4,130,32.5,2,122,7,4,34,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java,6324,19,1,14,14.0,1,14,5,5,19,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java,10871,255,5,243,48.6,2,224,12,6,51,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java,33251,704,4,645,161.25,2,585,59,48,176,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java,18327,414,5,390,78.0,2,365,24,14,82,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java,4495,117,4,108,27.0,2,98,9,4,29,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java,1547,41,1,41,41.0,1,41,0,0,41,NO
