"PROJ","CLASSIFIER","ITERATION","FEATURE_SELECTION","SAMPLING","COST_SENSITIVE","PRECISION","RECALL","AUC","KAPPA","NPOFB","TP","FP","TN","FN","%_OF_TRAINING"
"SYNCOPE","RandomForest","4","NO","NO","NO","0,5","0,02273","0,67136","0,03765","0,27907","1.0","1.0","587.0","43.0","83,69032"
"SYNCOPE","NaiveBayes","4","NO","NO","NO","0,06038","0,72727","0,44318","-0,01959","0,29545","32.0","498.0","90.0","12.0","83,69032"
"SYNCOPE","IBk","4","NO","NO","NO","0,30769","0,09091","0,72159","0,11216","0,38636","4.0","9.0","579.0","40.0","83,69032"
"SYNCOPE","RandomForest","4","BEST FIRST","NO","NO","1","0,09091","0,64962","0,15688","0,40909","4.0","0.0","588.0","40.0","83,69032"
"SYNCOPE","NaiveBayes","4","BEST FIRST","NO","NO","0,26316","0,11364","0,53668","0,12185","0,13636","5.0","14.0","574.0","39.0","83,69032"
"SYNCOPE","IBk","4","BEST FIRST","NO","NO","0,75","0,13636","0,73869","0,21393","0,34091","6.0","2.0","586.0","38.0","83,69032"
"SYNCOPE","RandomForest","4","BEST FIRST","UNDERSAMPLING","NO","0,15476","0,59091","0,7231","0,15168","0,4186","26.0","142.0","446.0","18.0","83,69032"
"SYNCOPE","NaiveBayes","4","BEST FIRST","UNDERSAMPLING","NO","0,19444","0,31818","0,56685","0,16961","0,27273","14.0","58.0","530.0","30.0","83,69032"
"SYNCOPE","IBk","4","BEST FIRST","UNDERSAMPLING","NO","0,15432","0,56818","0,68924","0,1496","0,38636","25.0","137.0","451.0","19.0","83,69032"
"SYNCOPE","RandomForest","4","BEST FIRST","OVERSAMPLING","NO","0,46154","0,27273","0,66153","0,30702","0,40909","12.0","14.0","574.0","32.0","83,69032"
"SYNCOPE","NaiveBayes","4","BEST FIRST","OVERSAMPLING","NO","0,16981","0,20455","0,53392","0,1185","0,30233","9.0","44.0","544.0","35.0","83,69032"
"SYNCOPE","IBk","4","BEST FIRST","OVERSAMPLING","NO","0,34483","0,22727","0,73035","0,23146","0,29545","10.0","19.0","569.0","34.0","83,69032"
"SYNCOPE","RandomForest","4","BEST FIRST","NO","SENSITIVE_LEARNING","0,47368","0,20455","0,64995","0,2544","0,38636","9.0","10.0","578.0","35.0","83,69032"
"SYNCOPE","NaiveBayes","4","BEST FIRST","NO","SENSITIVE_LEARNING","0,2","0,13636","0,53668","0,11204","0,11364","6.0","24.0","564.0","38.0","83,69032"
"SYNCOPE","IBk","4","BEST FIRST","NO","SENSITIVE_LEARNING","0,45","0,20455","0,73868","0,24855","0,34091","9.0","11.0","577.0","35.0","83,69032"
"SYNCOPE","RandomForest","5","NO","NO","NO","0,33333","0,01111","0,66939","0,00827","0,22222","2.0","4.0","686.0","178.0","81,66491"
"SYNCOPE","NaiveBayes","5","NO","NO","NO","0,17417","0,49444","0,46851","-0,06975","0,32222","89.0","422.0","268.0","91.0","81,66491"
"SYNCOPE","IBk","5","NO","NO","NO","0,4","0,07778","0,64548","0,06741","0,27778","14.0","21.0","669.0","166.0","81,66491"
"SYNCOPE","RandomForest","5","BEST FIRST","NO","NO","0,6875","0,06111","0,57196","0,08121","0,20112","11.0","5.0","685.0","169.0","81,66491"
"SYNCOPE","NaiveBayes","5","BEST FIRST","NO","NO","0,6875","0,06111","0,47585","0,08121","0,14444","11.0","5.0","685.0","169.0","81,66491"
"SYNCOPE","IBk","5","BEST FIRST","NO","NO","0,33333","0,02222","0,65523","0,01622","0,27222","4.0","8.0","682.0","176.0","81,66491"
