@RELATION file_train_step_4

@ATTRIBUTE LOC REAL
@ATTRIBUTE LOC_TOUCHED REAL
@ATTRIBUTE NUMBER_OF_REVISIONS REAL
@ATTRIBUTE LOC_ADDED REAL
@ATTRIBUTE AVG_LOC_ADDED REAL
@ATTRIBUTE NUMBER_OF_AUTHORS REAL
@ATTRIBUTE MAX_LOC_ADDED REAL
@ATTRIBUTE TOTAL_LOC_REMOVED REAL
@ATTRIBUTE MAX_LOC_REMOVED REAL
@ATTRIBUTE AVG_LOC_TOUCHED REAL
@ATTRIBUTE BUGGY {NO, YES}

@DATA
93,123,4,108,27.0,3,93,15,14,30,NO
26,26,1,26,26.0,1,26,0,0,26,NO
24,24,1,24,24.0,1,24,0,0,24,NO
60,65,2,63,31.5,2,60,2,2,32,NO
72,72,1,72,72.0,1,72,0,0,72,YES
18,18,1,18,18.0,1,18,0,0,18,NO
18,18,1,18,18.0,1,18,0,0,18,NO
29,29,1,29,29.0,1,29,0,0,29,YES
15,15,2,15,7.5,2,15,0,0,7,NO
18,18,1,18,18.0,1,18,0,0,18,NO
72,80,2,76,38.0,2,72,4,4,40,NO
29,29,1,29,29.0,1,29,0,0,29,NO
114,114,2,114,57.0,2,114,0,0,57,YES
5429,16087,2,10894,5447.0,2,5465,5193,5193,8043,YES
90,92,2,91,45.5,2,90,1,1,46,NO
17,17,1,17,17.0,1,17,0,0,17,YES
14,14,2,14,7.0,2,14,0,0,7,NO
60,125,3,93,31.0,2,60,32,30,41,YES
65,121,5,94,18.8,3,65,27,23,24,YES
52,87,4,70,17.5,3,52,17,14,21,YES
68,165,3,117,39.0,2,68,48,46,55,NO
18,18,1,18,18.0,1,18,0,0,18,YES
197,199,2,198,99.0,2,197,1,1,99,YES
10,17,2,14,7.0,2,10,3,3,8,YES
74,74,1,74,74.0,1,74,0,0,74,NO
10,10,2,10,5.0,2,10,0,0,5,NO
47,47,1,47,47.0,1,47,0,0,47,YES
6,6,1,6,6.0,1,6,0,0,6,NO
6,6,1,6,6.0,1,6,0,0,6,NO
9,11,2,10,5.0,2,9,1,1,5,YES
304,340,4,324,81.0,3,304,16,14,85,YES
37,69,2,53,26.5,2,37,16,16,34,NO
5,5,2,5,2.5,2,5,0,0,2,NO
36,38,2,37,18.5,2,36,1,1,19,NO
6,6,2,6,3.0,2,6,0,0,3,NO
41,63,2,52,26.0,2,41,11,11,31,YES
99,122,3,111,37.0,2,99,11,9,40,YES
45,47,2,46,23.0,2,45,1,1,23,YES
252,293,6,282,47.0,3,252,11,4,48,YES
37,39,2,38,19.0,2,37,1,1,19,NO
107,116,3,112,37.333333333333336,2,107,4,2,38,NO
492,759,3,626,208.66666666666663,2,492,133,128,253,YES
47,49,2,48,24.0,2,47,1,1,24,NO
53,58,3,56,18.666666666666668,2,53,2,2,19,NO
4,4,1,4,4.0,1,4,0,0,4,NO
292,309,3,301,100.33333333333331,2,292,8,6,103,YES
32,32,1,32,32.0,1,32,0,0,32,NO
28,28,2,28,14.0,2,28,0,0,14,NO
12,12,2,12,6.0,2,12,0,0,6,NO
4,4,2,4,2.0,2,4,0,0,2,NO
37,39,2,38,19.0,2,37,1,1,19,NO
336,373,3,355,118.33333333333331,2,336,18,16,124,YES
10,10,2,10,5.0,2,10,0,0,5,NO
15,15,1,15,15.0,1,15,0,0,15,NO
27,27,2,27,13.5,2,27,0,0,13,NO
79,85,2,82,41.0,2,79,3,3,42,NO
113,126,4,120,30.0,2,113,6,2,31,YES
13,17,2,15,7.5,2,13,2,2,8,YES
30,35,2,33,16.5,2,30,2,2,17,NO
35,35,1,35,35.0,1,35,0,0,35,NO
73,92,4,83,20.75,2,73,9,5,23,YES
41,46,2,44,22.0,2,41,2,2,23,YES
54,61,3,58,19.33333333333333,2,54,3,2,20,NO
41,41,1,41,41.0,1,41,0,0,41,NO
14,18,2,16,8.0,2,14,2,2,9,NO
25,25,2,25,12.5,2,25,0,0,12,YES
37,49,3,43,14.333333333333334,2,37,6,4,16,NO
137,178,4,159,39.75,2,137,19,12,44,YES
24,24,1,24,24.0,1,24,0,0,24,NO
303,343,4,324,81.0,2,303,19,16,85,YES
16,16,1,16,16.0,1,16,0,0,16,NO
43,51,2,47,23.5,2,43,4,4,25,YES
28,28,2,28,14.0,2,28,0,0,14,YES
5,5,2,5,2.5,2,5,0,0,2,NO
7,7,2,7,3.5,2,7,0,0,3,NO
13,15,2,14,7.0,2,13,1,1,7,YES
11,11,1,11,11.0,1,11,0,0,11,YES
177,280,3,229,76.33333333333333,2,177,51,49,93,NO
116,145,4,135,33.75,3,116,10,5,36,YES
12,16,2,14,7.0,2,12,2,2,8,YES
7,7,1,7,7.0,1,7,0,0,7,NO
26,30,2,28,14.0,2,26,2,2,15,YES
324,463,3,394,131.33333333333334,2,324,69,67,154,YES
62,86,2,74,37.0,2,62,12,12,43,NO
13,13,1,13,13.0,1,13,0,0,13,YES
67,69,2,68,34.0,2,67,1,1,34,NO
43,70,3,57,19.0,2,43,13,11,23,NO
33,38,2,36,18.0,2,33,2,2,19,NO
25,25,1,25,25.0,1,25,0,0,25,NO
30,30,1,30,30.0,1,30,0,0,30,NO
181,221,3,201,67.0,2,181,20,13,73,YES
75,80,3,78,26.0,2,75,2,2,26,YES
131,146,4,139,34.75,2,131,7,3,36,YES
31,36,2,34,17.0,2,31,2,2,18,YES
77,86,3,82,27.33333333333333,2,77,4,2,28,YES
37,43,2,40,20.0,2,37,3,3,21,YES
73,73,1,73,73.0,1,73,0,0,73,NO
112,134,2,123,61.5,2,112,11,11,67,NO
535,612,3,574,191.33333333333331,2,535,38,22,204,YES
58,74,3,66,22.0,2,58,8,5,24,YES
202,234,3,218,72.66666666666667,2,202,16,13,78,YES
122,122,1,122,122.0,1,122,0,0,122,NO
72,144,8,127,15.875,3,72,17,9,18,YES
74,78,2,76,38.0,2,74,2,2,39,YES
22,26,2,24,12.0,2,22,2,2,13,NO
44,48,2,46,23.0,2,44,2,2,24,NO
86,90,2,88,44.0,2,86,2,2,45,YES
27,27,1,27,27.0,1,27,0,0,27,NO
222,233,3,228,76.0,2,222,5,3,77,NO
29,29,1,29,29.0,1,29,0,0,29,NO
195,213,2,204,102.0,2,195,9,9,106,YES
28,30,2,29,14.5,2,28,1,1,15,NO
139,173,2,156,78.0,2,139,17,17,86,NO
36,40,2,38,19.0,2,36,2,2,20,NO
136,136,1,136,136.0,1,136,0,0,136,YES
227,238,4,234,58.5,3,227,4,2,59,NO
20,20,1,20,20.0,1,20,0,0,20,NO
57,57,2,57,28.5,2,57,0,0,28,YES
178,189,3,184,61.333333333333336,2,178,5,3,63,NO
203,107,5,55,11.0,3,33,52,30,21,NO
185,489,3,339,113.0,2,185,150,147,163,NO
127,325,3,226,75.33333333333333,2,127,99,97,108,NO
83,102,4,93,23.25,1,83,9,7,25,NO
444,444,1,444,444.0,1,444,0,0,444,NO
48,48,1,48,48.0,1,48,0,0,48,NO
120,120,1,120,120.0,1,120,0,0,120,NO
345,345,1,345,345.0,1,345,0,0,345,NO
82,82,1,82,82.0,1,82,0,0,82,NO
432,432,1,432,432.0,1,432,0,0,432,NO
84,84,1,84,84.0,1,84,0,0,84,NO
123,123,1,123,123.0,1,123,0,0,123,NO
83,83,1,83,83.0,1,83,0,0,83,NO
26,26,1,26,26.0,1,26,0,0,26,NO
188,188,1,188,188.0,1,188,0,0,188,NO
147,147,1,147,147.0,1,147,0,0,147,NO
122,122,1,122,122.0,1,122,0,0,122,NO
25,25,1,25,25.0,1,25,0,0,25,NO
107,107,1,107,107.0,1,107,0,0,107,NO
6,6,1,6,6.0,1,6,0,0,6,NO
77,77,1,77,77.0,1,77,0,0,77,NO
24,24,1,24,24.0,1,24,0,0,24,NO
39,39,1,39,39.0,1,39,0,0,39,NO
299,299,1,299,299.0,1,299,0,0,299,NO
105,105,1,105,105.0,1,105,0,0,105,NO
