@relation file_train_step_1

@attribute LOC numeric
@attribute LOC_TOUCHED numeric
@attribute NUMBER_OF_REVISIONS numeric
@attribute LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute MAX_LOC_ADDED numeric
@attribute TOTAL_LOC_REMOVED numeric
@attribute MAX_LOC_REMOVED numeric
@attribute AVG_LOC_TOUCHED numeric
@attribute BUGGY {YES,NO}

@data
5,5,2,5,2.5,2,5,0,0,2,NO
7,7,2,7,3.5,2,7,0,0,3,NO
13,15,2,14,7,2,13,1,1,7,NO
11,11,1,11,11,1,11,0,0,11,NO
177,280,3,229,76.333333,2,177,51,49,93,NO
116,145,4,135,33.75,3,116,10,5,36,NO
12,16,2,14,7,2,12,2,2,8,NO
7,7,1,7,7,1,7,0,0,7,NO
26,30,2,28,14,2,26,2,2,15,NO
324,463,3,394,131.333333,2,324,69,67,154,NO
62,86,2,74,37,2,62,12,12,43,NO
13,13,1,13,13,1,13,0,0,13,NO
67,69,2,68,34,2,67,1,1,34,NO
43,70,3,57,19,2,43,13,11,23,NO
33,38,2,36,18,2,33,2,2,19,NO
25,25,1,25,25,1,25,0,0,25,NO
30,30,1,30,30,1,30,0,0,30,NO
181,221,3,201,67,2,181,20,13,73,NO
75,80,3,78,26,2,75,2,2,26,NO
131,146,4,139,34.75,2,131,7,3,36,NO
31,36,2,34,17,2,31,2,2,18,NO
77,86,3,82,27.333333,2,77,4,2,28,NO
37,43,2,40,20,2,37,3,3,21,NO
73,73,1,73,73,1,73,0,0,73,NO
112,134,2,123,61.5,2,112,11,11,67,NO
535,612,3,574,191.333333,2,535,38,22,204,NO
58,74,3,66,22,2,58,8,5,24,NO
202,234,3,218,72.666667,2,202,16,13,78,NO
122,122,1,122,122,1,122,0,0,122,NO
72,144,8,127,15.875,3,72,17,9,18,NO
74,78,2,76,38,2,74,2,2,39,NO
22,26,2,24,12,2,22,2,2,13,NO
44,48,2,46,23,2,44,2,2,24,NO
86,90,2,88,44,2,86,2,2,45,NO
27,27,1,27,27,1,27,0,0,27,NO
222,233,3,228,76,2,222,5,3,77,NO
29,29,1,29,29,1,29,0,0,29,NO
195,213,2,204,102,2,195,9,9,106,NO
28,30,2,29,14.5,2,28,1,1,15,NO
139,173,2,156,78,2,139,17,17,86,NO
36,40,2,38,19,2,36,2,2,20,NO
136,136,1,136,136,1,136,0,0,136,NO
227,238,4,234,58.5,3,227,4,2,59,NO
20,20,1,20,20,1,20,0,0,20,NO
57,57,2,57,28.5,2,57,0,0,28,NO
178,189,3,184,61.333333,2,178,5,3,63,NO
203,107,5,55,11,3,33,52,30,21,NO
185,489,3,339,113,2,185,150,147,163,NO
127,325,3,226,75.333333,2,127,99,97,108,NO
83,102,4,93,23.25,1,83,9,7,25,NO
444,444,1,444,444,1,444,0,0,444,NO
48,48,1,48,48,1,48,0,0,48,NO
120,120,1,120,120,1,120,0,0,120,NO
345,345,1,345,345,1,345,0,0,345,NO
82,82,1,82,82,1,82,0,0,82,NO
432,432,1,432,432,1,432,0,0,432,NO
84,84,1,84,84,1,84,0,0,84,NO
123,123,1,123,123,1,123,0,0,123,NO
83,83,1,83,83,1,83,0,0,83,NO
26,26,1,26,26,1,26,0,0,26,NO
188,188,1,188,188,1,188,0,0,188,NO
147,147,1,147,147,1,147,0,0,147,NO
122,122,1,122,122,1,122,0,0,122,NO
25,25,1,25,25,1,25,0,0,25,NO
107,107,1,107,107,1,107,0,0,107,NO
6,6,1,6,6,1,6,0,0,6,NO
77,77,1,77,77,1,77,0,0,77,NO
24,24,1,24,24,1,24,0,0,24,NO
39,39,1,39,39,1,39,0,0,39,NO
299,299,1,299,299,1,299,0,0,299,NO
105,105,1,105,105,1,105,0,0,105,NO
80,80,1,80,80,1,80,0,0,80,NO
100,100,1,100,100,1,100,0,0,100,NO
36,36,1,36,36,1,36,0,0,36,NO
82,82,1,82,82,1,82,0,0,82,NO
108,108,1,108,108,1,108,0,0,108,NO
41,41,1,41,41,1,41,0,0,41,NO
47,47,1,47,47,1,47,0,0,47,NO
122,122,1,122,122,1,122,0,0,122,NO
11,11,1,11,11,1,11,0,0,11,NO
160,160,1,160,160,1,160,0,0,160,NO
14,14,1,14,14,1,14,0,0,14,NO
353,353,1,353,353,1,353,0,0,353,NO
361,361,1,361,361,1,361,0,0,361,NO
106,106,1,106,106,1,106,0,0,106,NO
103,103,1,103,103,1,103,0,0,103,NO
83,83,1,83,83,1,83,0,0,83,NO
376,376,1,376,376,1,376,0,0,376,NO
150,150,1,150,150,1,150,0,0,150,NO
22,22,1,22,22,1,22,0,0,22,NO
10,10,1,10,10,1,10,0,0,10,NO
41,41,1,41,41,1,41,0,0,41,NO
14,14,1,14,14,1,14,0,0,14,NO
39,39,1,39,39,1,39,0,0,39,NO
171,171,1,171,171,1,171,0,0,171,NO
117,117,1,117,117,1,117,0,0,117,NO
192,192,1,192,192,1,192,0,0,192,NO
202,202,1,202,202,1,202,0,0,202,NO
521,521,1,521,521,1,521,0,0,521,NO
203,203,1,203,203,1,203,0,0,203,NO
31,31,1,31,31,1,31,0,0,31,NO
142,142,1,142,142,1,142,0,0,142,NO
81,81,1,81,81,1,81,0,0,81,NO
39,39,1,39,39,1,39,0,0,39,NO
74,74,1,74,74,1,74,0,0,74,NO
32,32,1,32,32,1,32,0,0,32,NO
