"VERSION","FILE_NAME","LOC","LOC_TOUCHED","NUMBER_OF_REVISIONS","LOC_ADDED","AVG_LOC_ADDED","NUMBER_OF_AUTHORS","MAX_LOC_ADDED","TOTAL_LOC_REMOVED","MAX_LOC_REMOVED","AVG_LOC_TOUCHED","BUGGY"
"1","client/src/main/java/org/apache/syncope/types/SyncopeLoggerLevel.java","39","39","1","39","39.0","1","39","0","0","39","NO"
"1","client/src/main/java/org/apache/syncope/types/SyncopeLoggerType.java","12","12","1","12","12.0","1","12","0","0","12","NO"
"1","client/src/main/java/org/apache/syncope/types/TraceLevel.java","7","7","1","7","7.0","1","7","0","0","7","NO"
"1","client/src/main/java/org/apache/syncope/types/UserRequestType.java","6","6","1","6","6.0","1","6","0","0","6","NO"
"1","client/src/main/java/org/apache/syncope/types/WorkflowFormPropertyType.java","8","8","1","8","8.0","1","8","0","0","8","NO"
"1","client/src/main/java/org/apache/syncope/types/package-info.java","1","1","1","1","1.0","1","1","0","0","1","NO"
"1","client/src/test/java/org/apache/syncope/client/test/JSONTest.java","86","86","1","86","86.0","1","86","0","0","86","NO"
"1","console/src/main/java/org/apache/syncope/console/SyncopeApplication.java","126","165","3","145","48.333333333333336","2","126","20","16","55","NO"
"1","console/src/main/java/org/apache/syncope/console/SyncopeRequestCycleListener.java","44","44","1","44","44.0","1","44","0","0","44","NO"
"1","console/src/main/java/org/apache/syncope/console/SyncopeSession.java","56","72","3","70","23.333333333333332","3","56","2","1","24","NO"
"1","console/src/main/java/org/apache/syncope/console/commons/Constants.java","39","40","2","39","19.5","1","39","1","1","20","NO"
"1","console/src/main/java/org/apache/syncope/console/commons/DateFormatROModel.java","24","24","1","24","24.0","1","24","0","0","24","NO"
"1","console/src/main/java/org/apache/syncope/console/commons/HttpResourceStream.java","104","139","3","129","43.0","2","104","10","8","46","NO"
"1","console/src/main/java/org/apache/syncope/console/commons/MapChoiceRenderer.java","18","18","1","18","18.0","1","18","0","0","18","NO"
"1","console/src/main/java/org/apache/syncope/console/commons/PreferenceManager.java","126","218","3","170","56.666666666666664","2","126","48","42","72","NO"
"1","console/src/main/java/org/apache/syncope/console/commons/RoleTreeBuilder.java","70","70","1","70","70.0","1","70","0","0","70","NO"
"1","console/src/main/java/org/apache/syncope/console/commons/SchemaModalPageFactory.java","34","34","1","34","34.0","1","34","0","0","34","NO"
"1","console/src/main/java/org/apache/syncope/console/commons/SearchCondWrapper.java","64","64","1","64","64.0","1","64","0","0","64","NO"
"1","console/src/main/java/org/apache/syncope/console/commons/SelectChoiceRenderer.java","17","17","1","17","17.0","1","17","0","0","17","NO"
"1","console/src/main/java/org/apache/syncope/console/commons/SelectOption.java","40","40","1","40","40.0","1","40","0","0","40","NO"
"1","console/src/main/java/org/apache/syncope/console/commons/SortableDataProviderComparator.java","35","35","1","35","35.0","1","35","0","0","35","NO"
"1","console/src/main/java/org/apache/syncope/console/commons/SortableUserProviderComparator.java","44","44","1","44","44.0","1","44","0","0","44","NO"
"1","console/src/main/java/org/apache/syncope/console/commons/StatusBean.java","28","28","1","28","28.0","1","28","0","0","28","NO"
"1","console/src/main/java/org/apache/syncope/console/commons/StatusUtils.java","126","126","1","126","126.0","1","126","0","0","126","NO"
"1","console/src/main/java/org/apache/syncope/console/commons/UserDataProvider.java","57","57","1","57","57.0","1","57","0","0","57","NO"
"1","console/src/main/java/org/apache/syncope/console/commons/XMLRolesReader.java","58","58","1","58","58.0","1","58","0","0","58","NO"
"1","console/src/main/java/org/apache/syncope/console/markup/html/CrontabContainer.java","119","119","1","119","119.0","1","119","0","0","119","NO"
"1","console/src/main/java/org/apache/syncope/console/pages/AbstractSchedTaskModalPage.java","78","78","1","78","78.0","1","78","0","0","78","NO"
"1","console/src/main/java/org/apache/syncope/console/pages/AbstractSchemaModalPage.java","21","21","1","21","21.0","1","21","0","0","21","NO"
"1","console/src/main/java/org/apache/syncope/console/pages/ApprovalModalPage.java","156","156","1","156","156.0","1","156","0","0","156","NO"
"1","console/src/main/java/org/apache/syncope/console/pages/BaseModalPage.java","22","22","1","22","22.0","1","22","0","0","22","NO"
"1","console/src/main/java/org/apache/syncope/console/pages/BasePage.java","139","153","3","146","48.666666666666664","2","139","7","6","51","NO"
"1","console/src/main/java/org/apache/syncope/console/pages/Configuration.java","504","549","3","524","174.66666666666666","2","504","25","18","183","NO"
