@relation file_train_step_26

@attribute LOC numeric
@attribute LOC_TOUCHED numeric
@attribute NUMBER_OF_REVISIONS numeric
@attribute LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute MAX_LOC_ADDED numeric
@attribute TOTAL_LOC_REMOVED numeric
@attribute MAX_LOC_REMOVED numeric
@attribute AVG_LOC_TOUCHED numeric
@attribute BUGGY {YES,NO}

@data
143,707,21,532,25.333333,1,143,175,37,33,NO
143,76,4,49,12.25,1,27,27,19,19,NO
12,27,3,20,6.666667,1,12,7,7,9,NO
162,3800,62,2117,34.145161,1,214,1683,264,61,NO
1,1,1,1,1,1,1,0,0,1,NO
26,26,1,26,26,1,26,0,0,26,NO
76,76,1,76,76,1,76,0,0,76,NO
19,19,1,19,19,1,19,0,0,19,NO
32,32,1,32,32,1,32,0,0,32,NO
222,109,4,77,19.25,1,34,32,17,27,NO
53,60,2,57,28.5,1,53,3,3,30,NO
90,109,4,98,24.5,1,90,11,6,27,NO
245,299,3,270,90,1,245,29,18,99,NO
7,929,30,603,20.1,1,135,326,95,30,NO
30,30,1,30,30,1,30,0,0,30,NO
145,145,1,145,145,1,145,0,0,145,NO
19,19,1,19,19,1,19,0,0,19,NO
50,160,9,121,13.444444,1,50,39,13,17,NO
42,49,2,46,23,1,42,3,3,24,NO
63,75,3,69,23,1,63,6,3,25,NO
36,44,2,40,20,1,36,4,4,22,NO
4,9,2,8,4,1,4,1,1,4,NO
11,11,1,11,11,1,11,0,0,11,NO
186,44,1,44,44,1,44,0,0,44,NO
11,11,1,11,11,1,11,0,0,11,NO
8,19,4,13,3.25,1,7,6,6,4,NO
103,428,26,274,10.538462,1,42,154,32,16,NO
19,19,1,19,19,1,19,0,0,19,NO
35,42,3,40,13.333333,1,35,2,1,14,NO
103,103,1,103,103,1,103,0,0,103,NO
31,163,6,108,18,1,37,55,32,27,NO
22,22,2,22,11,1,22,0,0,11,NO
4,4,1,4,4,1,4,0,0,4,NO
94,94,1,94,94,1,94,0,0,94,NO
17,22,3,18,6,1,17,4,3,7,NO
17,22,3,18,6,1,17,4,3,7,NO
109,26,3,23,7.666667,1,21,3,3,8,NO
106,120,4,111,27.75,1,106,9,3,30,NO
13,9,1,9,9,1,9,0,0,9,NO
11,11,1,11,11,1,11,0,0,11,NO
74,28,3,23,7.666667,1,22,5,5,9,NO
56,79,4,66,16.5,1,56,13,10,19,NO
219,219,1,219,219,1,219,0,0,219,NO
21,8,1,8,8,1,8,0,0,8,NO
326,502,9,408,45.333333,1,326,94,38,55,NO
30,30,1,30,30,1,30,0,0,30,NO
90,239,10,191,19.1,1,90,48,14,23,NO
34,36,2,35,17.5,1,34,1,1,18,NO
9,73,12,45,3.75,1,17,28,14,6,NO
30,218,10,126,12.6,1,58,92,59,21,NO
13,13,1,13,13,1,13,0,0,13,NO
22,50,4,37,9.25,1,22,13,7,12,NO
15,19,4,17,4.25,1,15,2,1,4,NO
54,132,4,109,27.25,1,54,23,20,33,NO
77,34,3,32,10.666667,1,30,2,1,11,NO
91,179,4,120,30,1,91,59,35,44,NO
31,33,3,33,11,1,31,0,0,11,NO
46,48,4,48,12,1,46,0,0,12,NO
120,74,7,12,1.714286,1,4,62,49,10,NO
229,241,2,240,120,1,229,1,1,120,NO
143,143,1,143,143,1,143,0,0,143,NO
23,369,10,262,26.2,1,67,107,28,36,NO
721,721,1,721,721,1,721,0,0,721,NO
